team_a,team_b,latitude_a,longitude_a,latitude_b,longitude_b,travel_distance,travel_duration
southampton-fc,manchester-united,50.9291132,-1.47131,53.4636889,-2.2914568,366903.0,14017.0
southampton-fc,luton-town,50.9291132,-1.47131,51.8786707,-0.4200255,153402.0,5851.0
southampton-fc,arsenal-fc,50.9291132,-1.47131,51.5548527,-0.1091085,147540.0,6810.0
southampton-fc,aston-villa,50.9291132,-1.47131,53.19753,-3.040541,384613.0,14246.0
southampton-fc,chelsea-fc,50.9291132,-1.47131,51.4820834,-0.1913183,126074.0,5500.0
southampton-fc,crystal-palace,50.9291132,-1.47131,51.4198825,-0.0785415,135874.0,6957.0
southampton-fc,derby-county,50.9291132,-1.47131,53.1046782,-1.5623885,298617.0,11882.0
southampton-fc,nottingham-forest,50.9291132,-1.47131,53.0113911,-1.1868616,280025.0,11346.0
southampton-fc,charlton-athletic,50.9291132,-1.47131,51.4866871,0.0358469,186544.0,7244.0
southampton-fc,everton-fc,50.9291132,-1.47131,53.3573617,-2.8137713,369874.0,13976.0
southampton-fc,norwich-city,50.9291132,-1.47131,52.6308859,1.297355,327064.0,12532.0
southampton-fc,millwall-fc,50.9291132,-1.47131,51.48586599999999,-0.05092439999999999,137607.0,7421.0
southampton-fc,sheffield-wednesday,50.9291132,-1.47131,53.41143169999999,-1.5006631,341043.0,13687.0
southampton-fc,sheffield-united,50.9291132,-1.47131,53.3703762,-1.4715037,338607.0,13407.0
southampton-fc,sunderland-afc,50.9291132,-1.47131,54.913899,-1.387941,514180.0,19739.0
southampton-fc,leeds-united,50.9291132,-1.47131,53.77780199999999,-1.572179,382422.0,14713.0
southampton-fc,west-ham-united,50.9291132,-1.47131,51.53195669999999,0.0394024,194059.0,7562.0
southampton-fc,oldham-athletic,50.9291132,-1.47131,53.55507,-2.128324,387720.0,14935.0
southampton-fc,notts-county,50.9291132,-1.47131,52.9546639,-1.1580059,270736.0,11052.0
southampton-fc,middlesbrough-fc,50.9291132,-1.47131,54.5780389,-1.2176404,474761.0,18020.0
southampton-fc,blackburn-rovers,50.9291132,-1.47131,53.7285943,-2.4891959,403827.0,15165.0
southampton-fc,ipswich-town,50.9291132,-1.47131,52.056736,1.14822,274756.0,10883.0
southampton-fc,swindon-town,50.9291132,-1.47131,51.55577390000001,-1.7797176,109434.0,4680.0
southampton-fc,newcastle-united,50.9291132,-1.47131,54.9750986,-1.623124,533512.0,20550.0
southampton-fc,leicester-city,50.9291132,-1.47131,52.6368778,-1.1397592,238278.0,9466.0
